Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Boban Marjanovic,"01/1/19, LAC vs. PHI",27,4,163,1514,341,594,0,2,283,364,222,620,74,39,63,112,187,965,.574,.000,.777,9.3,5.9,3.8,0.5
Jarell Martin,"01/10/18, MEM vs. NOP",21,4,170,2833,363,834,53,155,181,236,185,612,109,66,72,143,391,960,.435,.342,.767,16.7,5.6,3.6,0.6
T.J. McConnell,"01/1/16, PHI @ LAL",23,4,285,6438,804,1656,79,238,150,196,138,834,1387,377,47,473,455,1837,.486,.332,.765,22.6,6.4,2.9,4.9
Chris McCullough,"01/15/17, BRK vs. HOU",20,3,59,532,78,183,15,49,23,42,41,112,15,30,19,20,54,194,.426,.306,.548,9.0,3.3,1.9,0.3
Jordan McRae,"01/10/17, CLE @ UTA",24,3,72,667,107,262,33,82,53,71,13,73,49,15,8,32,51,300,.408,.402,.746,9.3,4.2,1.0,0.7
Salah Mejri,"01/10/18, DAL @ CHO",29,4,184,2139,240,380,1,9,108,181,235,715,65,64,167,106,343,589,.632,.111,.597,11.6,3.2,3.9,0.4
Jordan Mickey,"01/11/17, BOS vs. WAS",21,3,64,482,62,138,2,17,26,43,37,128,17,9,27,28,53,152,.449,.118,.605,7.5,2.4,2.0,0.3
Luis Montero,"01/5/18, DET @ PHI",22,2,14,50,5,20,1,9,3,4,0,6,1,0,0,6,1,14,.250,.111,.750,3.6,1.0,0.4,0.1
Emmanuel Mudiay,"01/1/19, NYK @ DEN",19,4,226,5755,960,2465,218,691,464,630,112,682,947,178,72,536,386,2602,.389,.315,.737,25.5,11.5,3.0,4.2
Xavier Munford,"01/20/18, MIL @ PHI",23,2,20,265,33,83,9,25,8,16,4,32,26,14,3,17,29,83,.398,.360,.500,13.3,4.2,1.6,1.3
Larry Nance,"01/1/16, LAL vs. PHI",23,4,235,5218,737,1357,26,99,246,354,475,1459,352,285,129,203,567,1746,.543,.263,.695,22.2,7.4,6.2,1.5
Raul Neto,"01/10/16, UTA @ LAL",23,4,181,2571,326,730,102,267,99,128,30,228,321,104,11,178,229,853,.447,.382,.773,14.2,4.7,1.3,1.8
J.J. O'Brien,"01/16/16, UTA vs. LAL",23,1,2,6,0,1,0,0,0,0,0,1,0,1,0,0,1,0,.000,,,3.0,0.0,0.5,0.0
Jahlil Okafor,"01/1/16, PHI @ LAL",20,4,165,3538,821,1569,2,11,294,428,275,846,152,53,152,261,373,1938,.523,.182,.687,21.4,11.7,5.1,0.9
Kelly Oubre,"01/1/16, WAS vs. ORL",20,4,275,5893,843,2025,284,886,426,545,191,987,211,211,105,241,664,2396,.416,.321,.782,21.4,8.7,3.6,0.8
Lamar Patterson,"01/25/16, ATL @ DEN",24,2,40,435,31,95,13,55,18,25,5,57,45,10,2,27,51,93,.326,.236,.720,10.9,2.3,1.4,1.1
Cameron Payne,"01/10/16, OKC @ POR",21,4,153,2454,361,909,123,372,69,89,43,274,382,104,28,154,240,914,.397,.331,.775,16.0,6.0,1.8,2.5
Tibor Pleiss,"01/14/16, UTA vs. SAC",26,1,12,82,11,25,0,2,2,2,6,15,2,1,2,8,19,24,.440,.000,1.000,6.8,2.0,1.3,0.2
Bobby Portis,"01/1/16, CHI vs. NYK",20,4,221,4276,873,1893,155,443,246,331,403,1292,239,102,64,223,385,2147,.461,.350,.743,19.3,9.7,5.8,1.1
Kristaps Porzingis,"01/1/16, NYK @ CHI",20,3,186,5764,1206,2760,283,785,617,767,305,1317,248,136,378,332,590,3312,.437,.361,.804,31.0,17.8,7.1,1.3
Norman Powell,"01/1/17, TOR @ LAL",22,4,227,3749,571,1309,177,533,230,288,62,463,266,141,48,197,352,1549,.436,.332,.799,16.5,6.8,2.0,1.2
Willie Reed,"01/1/17, MIA vs. DET",25,3,152,1885,319,539,2,6,111,198,213,575,46,33,99,66,240,751,.592,.333,.561,12.4,4.9,3.8,0.3
Josh Richardson,"01/1/17, MIA vs. DET",22,4,235,7105,1014,2391,374,999,370,453,162,741,630,272,162,323,575,2772,.424,.374,.817,30.2,11.8,3.2,2.7
Terry Rozier,"01/10/17, BOS @ TOR",21,4,246,4854,665,1760,294,829,226,290,152,886,564,180,46,194,279,1850,.378,.355,.779,19.7,7.5,3.6,2.3
D'Angelo Russell,"01/1/16, LAL vs. PHI",19,4,244,6877,1427,3420,498,1414,472,617,137,881,1159,277,62,673,455,3824,.417,.352,.765,28.2,15.7,3.6,4.8
Jonathon Simmons,"01/1/17, SAS @ ATL",26,4,243,5079,757,1710,136,436,409,537,120,595,450,147,60,331,492,2059,.443,.312,.762,20.9,8.5,2.4,1.9
Alex Stepheson,"02/20/16, LAC vs. GSW",28,1,8,73,9,27,0,0,4,12,19,28,2,1,5,0,12,22,.333,,.333,9.1,2.8,3.5,0.3
Edy Tavares,"01/23/16, ATL @ PHO",23,2,13,101,15,24,0,0,3,11,11,32,4,1,12,7,11,33,.625,,.273,7.8,2.5,2.5,0.3
Axel Toupane,"03/1/17, MIL vs. DEN",23,2,25,352,30,79,14,44,13,17,8,32,15,8,7,6,46,87,.380,.318,.765,14.1,3.5,1.3,0.6
Karl-Anthony Towns,"01/1/17, MIN vs. POR",20,4,298,10299,2495,4661,342,890,1160,1386,939,3507,746,228,452,701,966,6492,.535,.384,.837,34.6,21.8,11.8,2.5
Myles Turner,"01/1/17, IND vs. ORL",19,4,253,7074,1263,2530,138,388,574,744,367,1674,314,167,500,336,725,3238,.499,.356,.772,28.0,12.8,6.6,1.2
Rashad Vaughn,"01/10/16, MIL @ NYK",19,3,139,1671,161,478,83,265,18,26,18,158,75,53,29,48,120,423,.337,.313,.692,12.0,3.0,1.1,0.5
Briante Weber,"01/12/18, HOU @ PHO",23,3,45,611,58,142,5,26,22,30,24,86,64,39,9,32,56,143,.408,.192,.733,13.6,3.2,1.9,1.4
Alan Williams,"01/11/19, BRK @ TOR",23,4,64,856,158,314,0,2,87,139,113,360,38,36,38,51,153,403,.503,.000,.626,13.4,6.3,5.6,0.6
Justise Winslow,"01/10/19, MIA vs. BOS",19,4,210,5888,699,1680,154,451,242,369,212,1108,521,193,79,305,492,1794,.416,.341,.656,28.0,8.5,5.3,2.5
Christian Wood,"01/31/17, CHO @ POR",20,3,37,293,43,95,6,20,29,42,31,83,7,8,13,11,24,121,.453,.300,.690,7.9,3.3,2.2,0.2
Delon Wright,"01/1/18, TOR vs. MIL",23,4,171,2987,412,914,101,284,212,262,107,404,393,151,62,156,171,1137,.451,.356,.809,17.5,6.6,2.4,2.3
Joe Young,"01/1/17, IND vs. ORL",23,3,127,1077,168,427,40,135,53,69,19,130,119,33,1,64,74,429,.393,.296,.768,8.5,3.4,1.0,0.9
