Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Alexey Shved,"01/1/14, MIN vs. NOP",24,3,182,3271,445,1207,162,529,297,390,85,355,460,110,49,243,201,1349,.369,.306,.762,18.0,7.4,2.0,2.5
Henry Sims,"01/10/15, PHI vs. IND",22,4,135,2542,403,856,4,23,221,288,248,670,140,76,64,153,289,1031,.471,.174,.767,18.8,7.6,5.0,1.0
Kyle Singler,"01/1/13, DET vs. SAC",24,6,356,7794,843,2015,299,826,341,434,317,1026,272,203,110,278,734,2326,.418,.362,.786,21.9,6.5,2.9,0.8
Jared Sullinger,"01/10/14, BOS @ GSW",20,5,269,6532,1172,2685,141,518,408,564,684,2006,477,180,161,332,784,2893,.436,.272,.723,24.3,10.8,7.5,1.8
Jeffery Taylor,"01/10/15, CHO @ NYK",23,3,132,2566,299,731,82,257,127,191,80,263,107,72,21,92,234,807,.409,.319,.665,19.4,6.1,2.0,0.8
Tyshawn Taylor,"01/10/14, BRK vs. MIA",22,2,61,491,63,178,9,25,39,57,5,33,57,25,1,56,54,174,.354,.360,.684,8.0,2.9,0.5,0.9
Marquis Teague,"01/12/13, CHI vs. PHO",19,3,91,909,85,248,10,45,37,56,5,90,134,23,12,77,98,217,.343,.222,.661,10.0,2.4,1.0,1.5
Mirza Teletovic,"01/10/14, BRK vs. MIA",27,6,324,5765,927,2285,541,1460,241,319,189,1042,273,104,82,255,552,2636,.406,.371,.755,17.8,8.1,3.2,0.8
Jonas Valanciunas,"01/1/14, TOR vs. IND",20,7,470,11774,2169,3878,40,108,1146,1456,1209,3961,350,178,479,684,1307,5524,.559,.370,.787,25.1,11.8,8.4,0.7
Jarvis Varnado,"01/12/13, MIA @ SAC",24,2,37,397,39,67,0,0,29,56,21,72,16,11,31,16,72,107,.582,,.518,10.7,2.9,1.9,0.4
Dion Waiters,"01/10/14, CLE @ UTA",21,7,378,10743,1909,4644,468,1387,683,980,158,997,1054,365,99,693,730,4969,.411,.337,.697,28.4,13.1,2.6,2.8
Maalik Wayns,"01/10/14, LAC vs. LAL",21,2,29,211,27,90,7,31,17,19,1,9,29,8,0,15,30,78,.300,.226,.895,7.3,2.7,0.3,1.0
Chris Wright,"03/15/13, DAL vs. CLE",23,1,3,4,1,2,0,0,0,0,0,0,0,0,0,1,0,2,.500,,,1.3,0.7,0.0,0.0
Tony Wroten,"01/1/14, PHI @ DEN",19,4,145,3076,575,1393,84,363,370,572,106,363,437,137,28,375,268,1604,.413,.231,.647,21.2,11.1,2.5,3.0
Luke Zeller,"01/11/13, PHO @ BRK",25,1,16,58,9,26,1,5,0,0,1,10,3,0,0,0,5,19,.346,.200,,3.6,1.2,0.6,0.2
Tyler Zeller,"01/1/18, BRK vs. ORL",23,6,406,7157,1144,2250,10,34,527,690,623,1792,363,103,238,344,877,2825,.508,.294,.764,17.6,7.0,4.4,0.9
