Season,AllNBATeam,Center,Forward1,Forward2,Guard1,Guard2
1988,2nd,Patrick Ewing,Karl Malone,Dominique Wilkins,Clyde Drexler,John Stockton
1987,1st,Hakeem Olajuwon,Larry Bird,Kevin McHale,Magic Johnson,Michael Jordan
1987,2nd,Moses Malone,Charles Barkley,Dominique Wilkins,Fat Lever,Isiah Thomas
1986,1st,Kareem Abdul-Jabbar,Larry Bird,Dominique Wilkins,Magic Johnson,Isiah Thomas
1986,2nd,Hakeem Olajuwon,Charles Barkley,Alex English,Sidney Moncrief,Alvin Robertson
1985,1st,Moses Malone,Larry Bird,Bernard King,Magic Johnson,Isiah Thomas
1985,2nd,Kareem Abdul-Jabbar,Terry Cummings,Ralph Sampson,Michael Jordan,Sidney Moncrief
1984,1st,Kareem Abdul-Jabbar,Larry Bird,Bernard King,Magic Johnson,Isiah Thomas
1984,2nd,Moses Malone,Adrian Dantley,Julius Erving,Sidney Moncrief,Jim Paxson
1983,1st,Moses Malone,Larry Bird,Julius Erving,Magic Johnson,Sidney Moncrief
1983,2nd,Kareem Abdul-Jabbar,Alex English,Buck Williams,George Gervin,Isiah Thomas
1982,1st,Moses Malone,Larry Bird,Julius Erving,George Gervin,Gus Williams
1982,2nd,Robert Parish,Alex English,Bernard King,Magic Johnson,Sidney Moncrief
1981,1st,Kareem Abdul-Jabbar,Larry Bird,Julius Erving,George Gervin,Dennis Johnson
1981,2nd,Moses Malone,Adrian Dantley,Marques Johnson,Tiny Archibald,Otis Birdsong
1980,1st,Kareem Abdul-Jabbar,Larry Bird,Julius Erving,George Gervin,Paul Westphal
1980,2nd,Moses Malone,Marques Johnson,Dan Roundfield,Dennis Johnson,Gus Williams
