Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Devin Harris,PG,34,DAL,44,807,13.5,.560,.440,.394,1.2,10.8,5.8,16.4,2.1,0.9,12.8,21.5,0.7,0.7,1.4,.085,-0.5,-0.9,-1.4,0.1
Devin Harris,PG,34,DEN,27,533,12.4,.568,.600,.341,0.6,8.2,4.4,17.7,1.3,0.6,12.1,18.2,0.9,0.2,1.1,.096,0.5,-3.3,-2.8,-0.1
Gary Harris,SG,23,DEN,67,2304,16.5,.597,.434,.178,1.8,6.8,4.3,13.0,2.6,0.5,10.8,20.7,3.9,1.5,5.5,.114,2.4,-1.5,0.9,1.7
Joe Harris,SG,26,BRK,78,1975,13.3,.634,.576,.167,2.7,11.3,7.0,10.2,0.9,0.8,12.0,16.6,3.0,0.9,4.0,.097,1.3,-1.2,0.1,1.1
Tobias Harris,PF,25,TOT,80,2668,17.1,.565,.364,.177,2.3,15.7,9.0,11.8,1.3,1.1,7.3,23.3,4.2,2.5,6.7,.120,1.5,-0.8,0.7,1.8
Tobias Harris,PF,25,DET,48,1563,16.7,.564,.389,.192,2.5,15.0,8.6,9.9,1.1,0.9,6.2,23.2,2.6,1.5,4.1,.125,1.4,-1.2,0.2,0.9
Tobias Harris,PF,25,LAC,32,1105,17.7,.565,.330,.156,2.1,16.8,9.5,14.3,1.6,1.5,8.8,23.4,1.6,1.0,2.6,.113,1.7,-0.2,1.5,1.0
Aaron Harrison,SG,23,DAL,9,233,5.1,.392,.623,.246,1.8,9.9,5.7,6.7,1.9,0.8,3.8,15.5,-0.3,0.2,-0.1,-0.014,-3.6,-0.5,-4.1,-0.1
Andrew Harrison,PG,23,MEM,56,1326,12.7,.534,.331,.371,2.0,9.7,5.7,21.3,1.4,1.8,14.0,19.6,1.0,0.7,1.7,.062,-0.9,-1.5,-2.5,-0.2
Shaquille Harrison,PG,24,PHO,23,384,15.6,.540,.210,.306,2.5,14.7,8.5,22.2,3.2,1.5,13.5,18.0,0.4,0.4,0.8,.094,-0.7,0.9,0.2,0.2
Josh Hart,SG,22,LAL,63,1461,12.2,.596,.525,.251,3.1,16.0,9.6,7.6,1.5,0.9,10.1,13.5,1.9,1.5,3.4,.111,-0.3,0.2,-0.1,0.7
Udonis Haslem,C,37,MIA,14,72,1.8,.252,.533,.133,4.7,10.9,7.8,9.2,0.0,2.4,11.2,11.1,-0.1,0.1,-0.1,-0.059,-7.1,-0.4,-7.5,-0.1
Nigel Hayes,SF,23,TOT,9,122,6.4,.393,.485,.091,3.6,17.5,10.3,6.7,0.8,2.3,5.5,13.3,-0.2,0.1,-0.1,-0.034,-5.1,-1.3,-6.4,-0.1
Nigel Hayes,SF,23,LAL,2,11,9.8,.436,.667,.333,0.0,0.0,0.0,24.3,0.0,0.0,0.0,13.3,0.0,0.0,0.0,.069,-3.5,-9.3,-12.8,0.0
Nigel Hayes,SF,23,TOR,2,6,34.9,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,21.9,0.0,0.0,0.0,.018,14.4,-6.4,8.0,0.0
Nigel Hayes,SF,23,SAC,5,105,4.4,.312,.429,.071,4.2,20.4,11.9,5.2,1.0,2.7,3.3,12.8,-0.2,0.1,-0.1,-0.048,-6.4,-0.2,-6.6,-0.1
Gordon Hayward,SF,27,BOS,1,5,7.3,.500,.500,.000,0.0,21.6,10.9,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,.056,-5.9,-6.1,-12.0,0.0
Reggie Hearn,SG,26,DET,3,7,13.1,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,0.0,0.0,.132,2.8,-5.1,-2.3,0.0
Myke Henry,SF,25,MEM,20,378,9.7,.472,.532,.092,3.0,8.8,5.8,8.9,4.1,1.5,14.4,15.7,-0.3,0.4,0.1,.017,-2.4,1.1,-1.3,0.1
John Henson,C,27,MIL,76,1970,15.7,.582,.014,.315,9.0,21.5,15.3,8.6,1.1,4.7,12.8,15.0,2.8,2.2,4.9,.120,-1.4,1.8,0.4,1.2
Juan Hernangomez,PF,22,DEN,25,277,9.7,.511,.667,.160,7.4,14.6,11.0,5.9,1.1,0.9,10.1,14.0,0.2,0.1,0.4,.061,-1.0,-2.2,-3.3,-0.1
Willy Hernangomez,C,23,TOT,48,495,21.2,.604,.073,.549,13.1,27.2,20.1,10.5,1.8,2.7,14.3,20.9,1.1,0.7,1.8,.175,0.1,0.8,0.9,0.4
Willy Hernangomez,C,23,NYK,26,233,16.9,.595,.062,.346,10.5,21.3,16.0,14.3,1.7,2.6,21.8,22.4,0.1,0.3,0.3,.069,-1.4,0.8,-0.6,0.1
Willy Hernangomez,C,23,CHO,22,262,25.0,.612,.084,.747,15.4,32.4,23.8,7.1,1.9,2.9,6.8,19.6,1.0,0.4,1.5,.270,1.5,0.8,2.2,0.3
Mario Hezonja,SF,22,ORL,75,1657,13.7,.544,.433,.170,2.7,16.1,9.3,10.0,2.4,1.5,11.5,19.9,0.5,1.8,2.3,.065,-1.0,0.2,-0.8,0.5
Isaiah Hicks,PF,23,NYK,18,240,6.8,.501,.125,.250,4.6,14.3,9.5,9.5,0.4,1.4,16.7,17.4,-0.1,0.1,0.0,-0.003,-4.3,-1.4,-5.6,-0.2
Buddy Hield,SG,24,SAC,80,2024,16.1,.557,.437,.087,3.0,14.8,8.6,12.8,2.1,1.0,11.3,24.3,1.3,1.5,2.8,.067,1.2,-1.4,-0.2,0.9
Nene Hilario,C,35,HOU,52,758,16.4,.594,.008,.448,8.1,18.0,13.1,9.5,1.8,1.6,11.7,18.9,1.5,1.1,2.6,.163,-1.5,0.7,-0.8,0.2
George Hill,PG,31,TOT,67,1812,13.3,.580,.400,.273,2.6,8.9,5.7,15.0,1.7,1.3,13.3,16.3,2.3,0.9,3.2,.085,0.3,-0.9,-0.6,0.6
George Hill,PG,31,SAC,43,1143,14.0,.597,.393,.304,2.1,9.9,5.8,15.5,1.7,1.0,14.0,16.9,1.6,0.6,2.1,.090,0.4,-1.0,-0.6,0.4
George Hill,PG,31,CLE,24,669,12.2,.551,.412,.219,3.4,7.3,5.4,14.0,1.6,1.9,12.0,15.4,0.8,0.3,1.1,.077,0.0,-0.6,-0.7,0.2
Solomon Hill,SF,26,NOP,12,187,4.8,.332,.512,.146,5.4,15.1,10.4,14.4,1.8,0.4,17.1,12.2,-0.2,0.2,-0.1,-0.014,-4.4,0.6,-3.8,-0.1
Darrun Hilliard,SG,24,SAS,14,95,3.4,.362,.316,.368,0.0,8.2,4.1,15.3,1.1,0.0,15.3,12.3,-0.1,0.1,0.0,-0.015,-6.2,-1.3,-7.5,-0.1
Jrue Holiday,SG,27,NOP,81,2927,17.8,.570,.286,.191,2.4,10.9,6.8,24.9,2.0,1.7,13.6,23.1,4.2,2.9,7.1,.116,1.8,0.3,2.1,3.0
Justin Holiday,SG,28,CHI,72,2265,10.8,.513,.574,.210,1.4,12.8,6.9,10.1,1.7,1.2,9.8,18.2,0.1,1.6,1.7,.036,-1.0,-0.3,-1.3,0.4
John Holland,SF,29,CLE,24,174,5.9,.417,.610,.220,3.9,11.4,7.7,3.9,2.0,1.0,11.0,18.5,-0.3,0.1,-0.2,-0.050,-4.7,-2.6,-7.3,-0.2
Rondae Hollis-Jefferson,SF,23,BRK,68,1920,16.9,.548,.075,.436,5.5,20.0,12.7,14.2,1.6,1.9,12.3,22.2,2.1,2.0,4.1,.103,-1.5,1.1,-0.4,0.8
Richaun Holmes,C,24,PHI,48,746,17.4,.585,.129,.232,8.6,21.4,15.2,12.3,1.3,3.2,8.6,16.6,1.6,1.3,2.8,.183,-0.2,1.9,1.7,0.7
Rodney Hood,SG,25,TOT,60,1616,14.3,.546,.443,.172,1.6,9.9,5.8,9.7,1.4,0.6,8.0,24.3,1.2,1.5,2.7,.081,0.2,-2.2,-2.0,0.0
Rodney Hood,SG,25,UTA,39,1084,15.1,.551,.475,.176,1.5,10.1,5.8,10.4,1.4,0.5,9.6,27.3,0.6,1.3,1.9,.085,0.5,-2.1,-1.6,0.1
Rodney Hood,SG,25,CLE,21,532,12.7,.533,.357,.161,1.7,9.5,5.7,8.4,1.4,0.8,3.2,18.3,0.6,0.2,0.8,.074,-0.4,-2.3,-2.7,-0.1
Scotty Hopson,SG,28,DAL,1,8,-4.6,.266,.000,2.000,0.0,0.0,0.0,15.8,0.0,0.0,34.7,16.3,0.0,0.0,0.0,-0.238,-14.7,-6.0,-20.7,0.0
Al Horford,C,31,BOS,72,2277,17.6,.575,.300,.159,5.0,20.2,12.7,23.6,0.9,2.9,14.1,18.4,4.0,3.8,7.8,.165,1.1,2.9,4.0,3.5
Danuel House,SG,24,PHO,23,403,12.4,.533,.450,.240,3.4,17.0,10.1,9.4,0.8,1.2,7.2,16.2,0.4,0.1,0.6,.066,-1.2,-1.5,-2.7,-0.1
Dwight Howard,C,32,CHO,81,2463,20.5,.577,.008,.639,11.0,33.8,22.2,7.1,1.0,4.4,15.1,24.2,2.9,3.9,6.8,.132,-2.0,1.7,-0.3,1.1
Josh Huestis,PF,26,OKC,69,982,5.4,.417,.632,.110,4.6,13.9,9.1,2.7,0.8,4.0,12.0,9.5,-0.5,1.0,0.5,.024,-4.6,0.7,-3.9,-0.5
R.J. Hunter,SG,24,HOU,5,45,8.5,.455,.700,.100,0.0,12.4,6.3,10.3,3.3,0.0,8.7,22.5,0.0,0.1,0.0,.022,-3.0,-1.6,-4.5,0.0
Vince Hunter,PF,23,MEM,4,7,35.8,.600,.000,.000,32.3,16.9,24.8,0.0,0.0,13.4,16.7,38.5,0.0,0.0,0.0,.097,-3.1,-5.9,-9.0,0.0
Serge Ibaka,PF,28,TOR,76,2093,14.7,.574,.379,.151,4.3,21.0,12.8,4.4,0.7,3.8,9.7,19.4,2.1,3.0,5.1,.117,-0.8,0.6,-0.2,1.0
Andre Iguodala,SF,34,GSW,64,1622,11.2,.536,.366,.272,3.7,12.6,8.5,16.2,1.6,1.9,15.8,11.5,1.6,1.6,3.2,.094,-0.7,0.9,0.2,0.9
Ersan Ilyasova,PF,30,TOT,69,1729,14.9,.558,.413,.220,7.6,18.0,12.9,7.9,1.7,1.3,9.7,18.7,2.2,1.9,4.0,.112,0.2,-0.1,0.1,0.9
Ersan Ilyasova,PF,30,ATL,46,1175,15.1,.569,.424,.224,7.0,16.8,11.9,6.8,1.8,1.2,8.9,18.0,1.6,1.0,2.6,.106,0.4,-0.3,0.0,0.6
Ersan Ilyasova,PF,30,PHI,23,554,14.6,.537,.392,.212,8.9,20.6,15.0,10.4,1.5,1.4,11.1,20.1,0.6,0.9,1.4,.125,-0.2,0.3,0.1,0.3
Joe Ingles,SF,30,UTA,82,2578,14.4,.623,.646,.116,1.1,13.9,7.6,22.9,1.8,0.7,17.4,15.9,4.0,3.6,7.6,.141,2.1,1.0,3.1,3.3
Andre Ingram,SG,32,LAL,2,64,16.3,.655,.529,.176,1.7,8.3,5.0,15.3,2.2,3.8,14.1,14.1,0.1,0.1,0.2,.157,0.4,0.9,1.3,0.1
Brandon Ingram,SF,20,LAL,59,1975,13.8,.536,.138,.371,3.1,13.8,8.5,17.7,1.1,1.8,14.4,22.2,1.0,1.8,2.8,.068,-1.6,0.3,-1.3,0.4
Kyrie Irving,PG,25,BOS,60,1931,25.0,.610,.374,.240,1.9,10.8,6.4,30.7,1.7,0.7,10.4,31.0,6.3,2.7,8.9,.222,6.9,-0.7,6.2,4.0
Jonathan Isaac,PF,20,ORL,27,536,9.8,.465,.317,.172,3.3,17.2,10.2,4.8,3.0,4.5,14.8,15.0,-0.6,0.8,0.2,.021,-4.9,3.1,-1.8,0.0
Wesley Iwundu,SF,23,ORL,62,1020,7.8,.480,.211,.216,3.9,11.0,7.4,7.8,1.6,0.9,11.2,11.6,0.0,0.7,0.7,.032,-3.7,0.2,-3.5,-0.4
Jarrett Jack,PG,34,NYK,62,1548,11.5,.489,.194,.169,1.6,12.1,6.8,31.3,1.1,0.2,19.5,16.7,0.5,0.7,1.2,.036,-1.9,-1.7,-3.5,-0.6
Aaron Jackson,SG,31,HOU,1,35,2.4,.405,.444,.222,6.5,3.2,4.8,4.0,0.0,0.0,9.2,13.7,0.0,0.0,0.0,-0.017,-4.6,-3.0,-7.7,-0.1
Demetrius Jackson,PG,23,TOT,15,80,5.4,.424,.389,.111,7.1,9.8,8.4,15.9,3.1,1.1,34.6,15.8,-0.2,0.1,-0.1,-0.047,-6.4,1.0,-5.5,-0.1
Demetrius Jackson,PG,23,HOU,12,63,0.2,.286,.429,.000,7.2,12.4,9.8,10.7,3.1,1.3,39.1,16.1,-0.3,0.1,-0.2,-0.140,-9.5,2.3,-7.2,-0.1
Demetrius Jackson,PG,23,PHI,3,17,24.5,.820,.250,.500,6.6,0.0,3.2,35.1,2.8,0.0,17.0,14.8,0.1,0.0,0.1,.298,5.0,-4.0,1.0,0.0
Josh Jackson,SF,20,PHO,77,1959,11.8,.480,.233,.299,5.1,14.2,9.6,10.1,2.0,1.4,12.2,26.0,-2.0,1.2,-0.7,-0.018,-3.1,-1.2,-4.3,-1.1
Justin Jackson,SF,22,SAC,68,1506,9.2,.521,.442,.086,2.0,12.6,7.1,7.2,0.9,0.8,8.4,14.2,0.4,0.5,1.0,.031,-2.0,-1.5,-3.5,-0.6
Reggie Jackson,PG,27,DET,45,1201,15.9,.516,.293,.232,2.6,9.0,5.7,32.8,1.1,0.3,13.5,27.1,1.1,0.9,2.0,.078,0.8,-2.3,-1.5,0.2
