Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Lonzo Ball,PG,21,LAL,47,1423,12.0,.487,.500,.105,4.0,13.7,9.0,23.7,2.3,1.1,17.8,16.9,0.0,1.9,1.9,.062,-0.8,1.6,0.9,1.0
Mohamed Bamba,C,20,ORL,47,766,15.1,.539,.288,.259,8.8,24.4,16.4,7.7,0.8,7.0,13.7,17.9,0.3,1.3,1.6,.098,-3.3,2.9,-0.4,0.3
J.J. Barea,PG,34,DAL,38,752,16.6,.495,.332,.203,1.9,11.4,6.8,47.4,1.4,0.1,14.7,27.8,0.6,0.6,1.2,.080,1.3,-2.0,-0.7,0.2
Harrison Barnes,PF,26,DAL,48,1558,13.5,.541,.433,.281,2.5,11.3,7.0,6.3,1.0,0.6,7.8,23.5,1.3,1.2,2.5,.078,-0.5,-1.9,-2.4,-0.2
Will Barton,SG,28,DEN,13,327,15.6,.562,.428,.203,4.0,15.1,9.5,16.9,0.5,1.9,10.7,22.1,0.5,0.3,0.8,.116,0.9,-1.5,-0.6,0.1
Keita Bates-Diop,SF,23,MIN,5,32,-2.8,.253,.455,.182,0.0,20.3,10.0,0.0,0.0,2.7,7.8,16.9,-0.1,0.0,-0.1,-0.189,-12.7,-4.4,-17.1,-0.1
Nicolas Batum,SF,30,CHO,52,1608,12.3,.599,.495,.183,3.1,15.2,9.1,14.6,1.5,1.4,17.1,13.2,1.6,1.4,3.0,.090,0.3,1.0,1.2,1.3
Jerryd Bayless,PG,30,MIN,15,313,10.8,.460,.484,.098,2.0,9.7,5.8,27.7,1.4,0.3,11.8,19.3,0.0,0.2,0.2,.031,-0.9,-2.5,-3.4,-0.1
Aron Baynes,C,32,BOS,34,507,15.1,.574,.324,.311,12.6,18.4,15.5,10.3,0.6,3.9,14.3,16.6,0.9,0.7,1.7,.159,-0.3,1.3,1.0,0.4
Kent Bazemore,SG,29,ATL,38,1011,14.4,.545,.415,.275,2.2,13.8,7.8,14.2,2.9,2.7,14.2,22.1,0.2,1.0,1.2,.059,-0.9,0.6,-0.3,0.4
Bradley Beal,SG,25,WAS,52,1926,19.5,.571,.370,.252,3.2,12.0,7.5,22.4,1.7,1.8,11.2,28.1,3.0,1.2,4.1,.103,3.0,-1.0,1.9,1.9
Malik Beasley,SG,22,DEN,52,1215,15.5,.634,.537,.084,1.8,10.0,5.9,7.6,1.4,0.4,6.2,17.6,2.6,0.9,3.6,.140,2.5,-2.0,0.4,0.7
Michael Beasley,PF,30,LAL,25,265,17.7,.558,.103,.269,4.8,16.1,10.6,13.8,1.6,3.0,13.8,29.4,0.0,0.4,0.4,.076,-2.7,-0.3,-3.0,-0.1
Marco Belinelli,SG,32,SAS,52,1165,14.2,.581,.578,.197,0.9,10.3,5.6,12.2,1.1,0.6,8.1,20.4,1.8,0.7,2.5,.101,1.9,-2.5,-0.5,0.4
Jordan Bell,C,24,GSW,46,502,13.7,.541,.009,.189,7.6,16.7,12.3,13.8,1.4,5.9,16.1,12.1,0.5,0.7,1.2,.118,-2.2,3.3,1.1,0.4
DeAndre' Bembry,SG,24,ATL,52,1297,9.8,.492,.301,.218,2.4,15.9,9.0,15.1,2.4,1.9,17.5,17.0,-0.8,1.1,0.3,.012,-3.5,1.1,-2.5,-0.2
Dragan Bender,PF,21,PHO,20,242,10.2,.514,.514,.324,6.9,16.5,11.6,7.8,1.0,1.0,14.2,17.6,0.0,0.1,0.0,.007,-2.8,-2.4,-5.2,-0.2
Davis Bertans,PF,26,SAS,48,989,14.6,.681,.768,.111,1.9,16.3,9.2,8.2,1.2,1.9,9.3,13.9,2.0,0.9,2.9,.140,2.8,-0.2,2.6,1.2
Patrick Beverley,PG,30,LAC,53,1412,10.7,.538,.605,.304,3.5,14.5,9.2,17.2,1.3,1.5,13.8,12.2,1.5,1.2,2.7,.092,0.6,1.0,1.6,1.3
Khem Birch,C,26,ORL,21,194,16.6,.577,.024,.463,8.7,21.7,15.0,8.7,1.8,4.8,7.5,12.0,0.4,0.3,0.7,.173,-2.3,3.3,0.9,0.1
Bismack Biyombo,C,26,CHO,27,417,15.2,.596,.000,.529,11.0,24.0,17.5,5.3,0.8,6.0,13.2,12.5,0.7,0.6,1.2,.144,-2.3,2.4,0.1,0.2
Nemanja Bjelica,PF,30,SAC,51,1207,15.6,.593,.434,.158,6.9,19.1,12.9,11.3,1.5,2.9,12.7,16.7,1.8,1.3,3.1,.123,0.9,1.3,2.3,1.3
Antonio Blakeney,SG,22,CHI,40,578,11.6,.502,.246,.197,1.1,11.1,6.1,6.5,0.8,1.2,7.5,25.4,-0.5,0.2,-0.2,-0.020,-4.4,-3.8,-8.2,-0.9
Eric Bledsoe,PG,29,MIL,50,1469,19.2,.580,.387,.223,3.8,11.7,8.0,27.0,2.4,1.2,13.5,22.6,3.0,2.5,5.4,.178,2.5,1.0,3.6,2.1
Jaron Blossomgame,SF,25,CLE,25,407,10.9,.536,.337,.137,6.6,19.2,12.6,3.9,0.9,1.7,9.8,12.1,0.3,0.1,0.3,.039,-2.6,-1.6,-4.2,-0.2
Bogdan Bogdanovic,SG,26,SAC,40,1119,14.8,.535,.433,.190,1.6,11.7,6.6,20.9,1.6,0.5,11.5,23.5,0.9,0.8,1.7,.071,0.8,-1.6,-0.8,0.4
Bojan Bogdanovic,SF,29,IND,52,1651,14.9,.612,.377,.280,1.7,12.4,7.2,7.9,1.2,0.0,10.1,20.3,2.5,1.9,4.4,.127,0.9,-1.3,-0.3,0.7
Jonah Bolden,PF,23,PHI,27,343,10.8,.561,.554,.217,7.7,21.8,15.0,6.3,1.1,5.5,20.2,13.9,0.0,0.5,0.5,.074,-2.9,2.0,-0.9,0.1
Isaac Bonga,PG,19,LAL,8,31,9.5,.306,.200,.700,10.3,9.6,9.9,23.6,4.5,0.0,13.3,20.1,-0.1,0.1,0.0,-0.018,-4.7,1.5,-3.1,0.0
Devin Booker,SG,22,PHO,41,1428,19.0,.572,.343,.316,1.7,10.5,6.0,34.2,1.3,0.4,15.4,32.1,1.7,0.1,1.8,.061,3.3,-3.2,0.1,0.8
Chris Boucher,PF,26,TOR,15,83,26.9,.591,.550,.325,11.9,19.1,15.6,0.0,1.2,15.6,4.2,24.6,0.2,0.2,0.5,.261,0.1,1.1,1.2,0.1
Avery Bradley,SG,28,LAC,47,1402,5.9,.465,.408,.056,2.7,6.7,4.8,9.2,0.9,0.8,12.5,14.5,-0.8,0.6,-0.2,-0.008,-2.2,-0.7,-2.9,-0.3
Tony Bradley,C,21,UTA,1,9,-10.4,.000,.000,.000,24.3,12.1,18.2,0.0,0.0,0.0,25.0,19.0,-0.1,0.0,-0.1,-0.345,-17.4,-5.6,-23.0,0.0
Corey Brewer,SF,32,PHI,7,140,10.8,.484,.286,.265,3.1,9.7,6.5,10.0,4.0,1.1,12.8,18.8,-0.1,0.2,0.1,.048,-3.2,0.8,-2.4,0.0
Mikal Bridges,SF,22,PHO,54,1467,11.3,.571,.576,.160,2.3,10.3,6.3,8.4,2.6,1.6,9.5,12.4,1.2,0.8,2.0,.064,-0.3,0.5,0.2,0.8
Miles Bridges,SF,20,CHO,50,953,12.3,.542,.407,.200,3.3,17.4,10.2,7.7,1.2,2.7,8.7,15.0,0.7,0.9,1.6,.080,-1.6,0.3,-1.3,0.2
Isaiah Briscoe,PG,22,ORL,28,317,5.2,.425,.207,.207,0.7,12.2,6.3,21.5,0.6,0.0,16.0,14.7,-0.3,0.2,-0.1,-0.013,-6.0,-1.9,-7.9,-0.5
Ryan Broekhoff,SG,28,DAL,22,172,11.3,.615,.769,.038,1.3,10.3,5.9,9.6,0.3,1.0,8.6,14.3,0.2,0.1,0.4,.098,0.0,-2.1,-2.1,0.0
Malcolm Brogdon,SG,26,MIL,47,1385,17.7,.619,.311,.206,3.9,12.1,8.3,16.4,1.1,0.7,11.4,20.4,3.2,1.8,5.0,.173,1.8,-0.2,1.6,1.3
Dillon Brooks,SF,23,MEM,18,330,7.8,.499,.328,.246,3.1,7.9,5.4,7.8,1.5,1.2,12.3,21.3,-0.3,0.3,0.0,-0.001,-4.2,-1.7,-6.0,-0.3
MarShon Brooks,SG,30,MEM,29,387,11.9,.518,.320,.195,3.5,10.1,6.7,11.3,1.2,1.0,10.3,24.0,-0.2,0.3,0.2,.021,-2.9,-2.5,-5.4,-0.3
Bruce Brown,SG,22,DET,44,880,6.9,.454,.290,.198,3.8,12.4,7.9,10.0,1.2,2.0,12.3,13.0,-0.3,0.9,0.7,.036,-4.2,1.5,-2.7,-0.1
Jaylen Brown,SG,22,BOS,47,1221,13.0,.534,.349,.253,3.9,13.9,8.9,7.7,1.7,1.8,10.7,22.0,0.3,1.8,2.0,.080,-1.8,-0.1,-2.0,0.0
Lorenzo Brown,PG,28,TOR,26,212,6.5,.380,.394,.042,2.6,13.0,7.9,17.3,2.7,1.9,18.1,17.8,-0.4,0.3,-0.1,-0.029,-5.4,1.4,-4.0,-0.1
Sterling Brown,SG,23,MIL,40,637,11.2,.573,.524,.102,3.7,14.4,9.4,10.5,1.1,0.7,12.1,14.7,0.6,0.9,1.5,.111,-1.0,0.0,-1.0,0.2
Troy Brown,SF,19,WAS,29,208,11.3,.471,.231,.323,2.6,18.5,10.3,17.8,1.8,0.4,9.7,16.9,0.0,0.2,0.2,.043,-3.8,-1.1,-4.9,-0.1
Jalen Brunson,PG,22,DAL,44,760,10.9,.508,.291,.208,1.7,9.2,5.6,19.9,1.3,0.1,11.3,18.3,0.4,0.6,1.0,.062,-2.0,-1.4,-3.5,-0.3
Thomas Bryant,C,21,WAS,42,801,20.9,.708,.148,.287,7.6,25.4,16.3,8.4,0.9,3.3,10.4,16.4,2.4,0.7,3.2,.189,0.9,0.3,1.2,0.6
Reggie Bullock,SG,27,DET,42,1293,10.6,.565,.663,.153,1.5,8.2,4.7,12.1,0.8,0.3,10.4,16.4,1.3,0.9,2.1,.080,0.4,-1.2,-0.8,0.4
Trey Burke,PG,26,NYK,33,689,15.9,.496,.240,.209,2.2,7.5,4.7,23.2,1.5,0.6,6.9,25.8,0.5,0.1,0.7,.046,0.1,-3.3,-3.2,-0.2
Alec Burks,SG,27,TOT,50,1211,13.2,.524,.359,.310,2.3,17.4,9.6,14.5,1.2,1.4,10.5,19.9,0.8,0.5,1.3,.050,-1.2,-1.0,-2.2,-0.1
Alec Burks,SG,27,UTA,17,269,12.7,.547,.377,.333,0.8,10.1,5.5,11.6,1.1,1.2,10.3,23.2,0.2,0.3,0.5,.081,-2.0,-1.6,-3.6,-0.1
Alec Burks,SG,27,CLE,33,942,13.3,.516,.352,.302,2.7,19.5,10.8,15.3,1.2,1.5,10.6,19.0,0.6,0.2,0.8,.042,-1.0,-0.9,-1.8,0.0
Deonte Burton,SG,25,OKC,15,131,7.9,.504,.283,.130,0.8,11.9,6.3,5.2,1.1,3.2,12.6,17.3,-0.1,0.2,0.1,.036,-5.9,-0.3,-6.2,-0.1
Jimmy Butler,SF-SG,29,TOT,41,1364,21.3,.583,.241,.354,5.6,10.4,8.0,18.0,3.0,1.5,8.2,23.0,3.6,1.7,5.3,.186,3.1,0.7,3.8,2.0
Jimmy Butler,SG,29,MIN,10,361,22.5,.579,.287,.389,4.7,10.8,7.7,18.7,3.2,2.4,7.1,23.0,1.0,0.4,1.4,.189,3.9,1.2,5.1,0.7
Jimmy Butler,SF,29,PHI,31,1003,20.9,.584,.224,.341,5.9,10.3,8.2,17.7,2.9,1.2,8.6,23.0,2.6,1.3,3.9,.185,2.9,0.5,3.3,1.3
Bruno Caboclo,SF,23,MEM,5,115,9.7,.455,.793,.310,4.9,12.3,8.5,6.2,1.3,6.7,8.3,14.2,0.0,0.2,0.1,.059,-3.0,2.4,-0.7,0.0
Jose Calderon,PG,37,DET,42,598,6.9,.446,.487,.096,1.6,8.7,5.0,25.5,1.3,0.4,22.6,11.0,-0.1,0.5,0.4,.036,-4.2,-1.0,-5.2,-0.5
Kentavious Caldwell-Pope,SG,25,LAL,53,1269,12.6,.574,.566,.246,2.7,9.1,6.0,6.3,1.7,0.3,7.2,16.8,1.6,1.2,2.8,.107,0.5,-1.0,-0.5,0.5
Isaiah Canaan,PG,27,TOT,21,520,7.0,.504,.570,.148,1.1,9.9,5.4,16.8,1.1,0.0,17.3,14.4,-0.1,0.0,-0.1,-0.012,-2.7,-2.5,-5.2,-0.4
Isaiah Canaan,PG,27,PHO,19,503,7.5,.515,.558,.155,1.1,10.0,5.5,17.1,1.1,0.0,17.4,14.3,-0.1,0.0,-0.1,-0.005,-2.5,-2.4,-4.9,-0.4
Isaiah Canaan,PG,27,MIN,2,17,-5.5,.250,.833,.000,0.0,6.4,3.1,7.5,0.0,0.0,14.3,17.3,-0.1,0.0,-0.1,-0.215,-8.9,-4.6,-13.5,0.0
Clint Capela,C,24,HOU,42,1436,24.5,.642,.000,.349,15.7,25.9,20.6,7.5,0.9,4.5,10.1,19.3,5.0,1.4,6.4,.215,1.6,1.0,2.6,1.7
DeMarre Carroll,SF,32,BRK,42,1054,11.9,.539,.530,.420,4.3,17.1,10.7,6.6,0.8,0.4,9.4,19.1,0.9,0.8,1.8,.080,-0.9,-1.5,-2.4,-0.1
Jevon Carter,PG,23,MEM,19,298,4.1,.346,.552,.103,1.5,6.7,4.1,16.1,2.5,1.6,13.3,16.0,-0.7,0.3,-0.3,-0.056,-5.9,-0.1,-6.0,-0.3
Vince Carter,SF,42,ATL,48,759,10.9,.543,.669,.105,3.0,15.1,8.9,8.6,1.6,1.7,10.3,16.6,0.4,0.5,0.8,.054,-1.1,-1.2,-2.3,-0.1
Wendell Carter,C,19,CHI,44,1110,15.4,.541,.086,.302,8.5,21.6,15.0,11.1,1.1,4.6,13.4,19.3,0.7,1.2,2.0,.085,-2.5,2.1,-0.3,0.5
Michael Carter-Williams,PG,27,HOU,16,145,12.9,.476,.311,.426,2.2,8.0,5.0,23.2,3.1,3.5,12.1,24.7,0.0,0.1,0.1,.036,-3.0,-0.9,-3.9,-0.1
Alex Caruso,PG,24,LAL,5,20,10.4,.521,.250,1.000,5.3,0.0,2.6,6.4,0.0,7.9,0.0,11.9,0.0,0.0,0.0,.092,-2.6,1.1,-1.5,0.0
Omri Casspi,SF,30,MEM,36,520,16.1,.606,.267,.360,3.7,22.3,12.7,8.3,1.9,1.7,11.0,18.3,0.6,0.8,1.3,.124,-2.0,0.3,-1.6,0.0
Willie Cauley-Stein,C,25,SAC,52,1478,18.2,.555,.004,.314,8.8,23.3,15.9,13.4,2.0,1.8,9.6,19.2,2.4,1.9,4.3,.140,0.0,1.9,1.9,1.5
Troy Caupain,PG,23,ORL,2,9,33.3,.625,.500,.000,0.0,24.6,12.0,56.1,5.4,0.0,0.0,19.5,0.1,0.0,0.1,.394,9.5,2.0,11.5,0.0
Tyler Cavanaugh,PF,24,UTA,7,17,6.2,.436,.500,.333,6.4,19.2,12.8,0.0,0.0,0.0,12.7,19.9,0.0,0.0,0.0,-0.032,-8.5,-6.3,-14.7,-0.1
Tyson Chandler,C,36,TOT,45,780,12.3,.630,.010,.814,12.0,25.1,18.7,5.5,1.2,2.0,21.0,8.9,1.1,1.1,2.2,.134,-2.3,1.9,-0.4,0.3
Tyson Chandler,C,36,PHO,7,89,11.7,.653,.000,1.500,8.7,41.0,24.7,9.2,1.1,0.9,26.0,13.1,0.1,0.1,0.2,.095,-4.8,0.1,-4.7,-0.1
Tyson Chandler,C,36,LAL,38,691,12.4,.626,.012,.718,12.4,23.1,17.9,5.0,1.2,2.2,20.0,8.4,1.0,1.0,2.0,.139,-2.0,2.2,0.2,0.4
Wilson Chandler,PF,31,PHI,36,951,9.2,.561,.570,.087,5.1,13.6,9.4,10.0,1.1,1.5,15.4,11.2,0.6,0.9,1.5,.076,-0.8,0.6,-0.1,0.4
Joe Chealey,PG,23,CHO,1,8,2.1,.333,.000,.000,0.0,0.0,0.0,17.5,0.0,0.0,0.0,16.1,0.0,0.0,0.0,-0.071,-8.6,-8.0,-16.6,0.0
Marquese Chriss,PF,21,HOU,16,104,3.5,.391,.441,.206,7.3,23.4,15.1,8.4,0.9,3.3,24.4,20.5,-0.3,0.1,-0.2,-0.111,-9.0,-0.8,-9.8,-0.2
Gary Clark,PF,24,HOU,36,527,8.4,.470,.908,.055,3.7,16.7,10.0,3.6,1.4,3.5,4.3,9.6,0.2,0.4,0.6,.055,-2.7,0.3,-2.4,-0.1
Ian Clark,SG,27,NOP,36,471,6.4,.496,.507,.079,1.1,9.4,5.4,11.7,0.7,0.7,15.1,16.3,-0.2,0.1,-0.1,-0.013,-3.1,-2.5,-5.6,-0.4
Jordan Clarkson,SG,26,CLE,52,1376,17.5,.544,.365,.144,3.7,10.4,6.9,16.0,1.3,0.6,9.7,28.4,1.3,-0.1,1.2,.041,1.9,-3.8,-1.9,0.0
John Collins,PF,21,ATL,36,1081,22.3,.646,.189,.298,13.1,22.4,17.6,12.6,0.5,1.1,12.4,23.5,3.2,0.5,3.7,.164,3.5,-1.5,2.0,1.1
Zach Collins,C,21,POR,52,969,13.7,.574,.301,.294,8.3,16.1,12.3,7.5,0.9,3.5,14.1,16.4,1.2,1.1,2.3,.113,-0.6,0.9,0.4,0.6
Darren Collison,PG,31,IND,52,1444,15.7,.566,.307,.257,1.7,9.5,5.7,28.7,2.6,0.5,15.0,16.4,2.4,2.1,4.5,.148,0.7,0.1,0.8,1.0
Mike Conley,PG,31,MEM,51,1722,20.4,.557,.378,.317,1.9,9.7,5.7,33.1,2.0,1.0,9.5,27.0,3.4,1.8,5.3,.147,4.0,-1.1,2.9,2.1
Pat Connaughton,SG,26,MIL,32,572,13.7,.533,.594,.114,5.0,15.2,10.4,15.3,1.2,2.2,8.5,14.8,0.8,0.9,1.7,.142,0.1,1.1,1.3,0.5
Quinn Cook,PG,25,GSW,44,649,13.7,.562,.446,.072,2.4,13.4,8.1,16.2,1.1,0.4,10.1,20.8,0.7,0.5,1.2,.088,0.2,-2.5,-2.3,0.0
DeMarcus Cousins,C,28,GSW,7,159,20.9,.548,.231,.410,4.9,28.6,17.2,25.2,2.1,3.2,12.4,28.1,0.3,0.3,0.6,.171,0.5,2.1,2.5,0.2
Robert Covington,SF,28,TOT,35,1203,13.4,.580,.622,.246,2.5,14.7,8.6,5.3,2.9,3.2,10.5,15.6,1.0,1.7,2.7,.108,0.5,2.1,2.6,1.4
Robert Covington,SF,28,PHI,13,440,11.0,.578,.658,.197,1.8,14.2,8.1,4.3,2.6,4.1,14.8,14.2,0.0,0.7,0.7,.079,-1.2,2.5,1.2,0.4
Robert Covington,SF,28,MIN,22,763,14.8,.580,.604,.269,2.9,14.9,8.8,6.0,3.1,2.7,8.4,16.4,1.0,1.0,2.0,.124,1.5,1.9,3.4,1.0
Allen Crabbe,SG,26,BRK,28,732,7.4,.501,.677,.153,1.9,12.3,7.1,5.8,1.1,0.9,10.8,17.1,-0.2,0.6,0.4,.025,-2.1,-0.9,-3.0,-0.2
Torrey Craig,SF,28,DEN,47,1079,10.1,.534,.498,.193,7.1,12.8,9.9,5.8,1.2,2.5,11.9,12.7,0.8,1.1,1.8,.082,-0.9,0.6,-0.3,0.5
Jamal Crawford,SG,38,PHO,44,782,9.4,.474,.423,.250,1.0,6.4,3.7,27.0,1.2,0.9,17.3,20.2,-0.5,0.0,-0.5,-0.030,-3.5,-4.0,-7.5,-1.1
Mitch Creek,SF,26,BRK,3,20,14.3,.518,.000,.800,5.3,21.5,13.4,6.9,2.4,0.0,0.0,14.3,0.0,0.0,0.1,.157,-3.1,0.1,-3.0,0.0
Jae Crowder,SF,28,UTA,53,1463,11.9,.535,.654,.276,3.1,15.4,9.3,8.8,1.4,1.2,9.5,19.2,0.7,1.9,2.6,.085,-0.2,0.3,0.1,0.8
Dante Cunningham,PF,31,SAS,48,769,10.8,.591,.420,.107,6.2,17.5,11.9,7.4,1.3,1.4,11.6,8.9,1.0,0.7,1.7,.106,-0.3,1.0,0.7,0.5
Seth Curry,SG,28,POR,46,820,9.7,.586,.547,.037,2.0,6.8,4.4,7.5,1.1,0.7,12.0,14.6,0.7,0.5,1.2,.068,-0.2,-1.5,-1.7,0.1
Stephen Curry,PG,30,GSW,41,1406,26.3,.666,.588,.242,2.3,13.2,8.0,24.7,1.6,0.8,11.6,30.7,5.5,1.2,6.7,.228,9.2,-2.1,7.1,3.2
Troy Daniels,SG,27,PHO,27,356,10.2,.572,.758,.117,1.9,7.4,4.6,3.7,2.2,0.5,11.2,18.4,0.0,0.1,0.1,.017,-0.7,-3.3,-4.0,-0.2
Anthony Davis,C,25,NOP,41,1519,31.0,.595,.145,.441,9.8,27.5,18.9,18.9,2.2,5.7,7.5,29.8,6.0,2.4,8.5,.267,5.4,3.8,9.2,4.3
Ed Davis,C,29,BRK,53,980,18.0,.629,.010,.481,17.1,34.5,25.8,6.7,1.3,1.6,14.7,12.9,2.3,1.6,3.9,.191,-0.5,1.5,1.0,0.7
