Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Seattle SuperSonics,26.9,40,42,41,41,-0.12,0.49,0.37,103.7,103.9,88.0,.270,.196,.512,.472,12.8,28.1,.201,.484,14.3,71.8,.210,KeyArena at Seattle Center,637194,15541
Milwaukee Bucks,29.3,42,40,42,40,0.23,-0.48,-0.24,108.8,108.6,90.4,.287,.229,.543,.500,12.2,25.6,.222,.494,13.5,69.9,.237,Bradley Center,665966,16378
Orlando Magic,26.9,42,40,41,41,0.13,-0.53,-0.39,105.2,105.0,93.1,.307,.235,.526,.478,13.3,27.0,.239,.486,15.1,71.1,.250,TD Waterhouse Centre,605901,14940
Golden State Warriors,24.4,38,44,38,44,-1.13,0.54,-0.60,108.3,109.5,94.2,.343,.178,.526,.472,13.9,35.0,.267,.482,12.2,67.9,.220,The Arena in Oakland,634935,15486
Boston Celtics,26.9,44,38,40,42,-0.39,-0.36,-0.75,101.2,101.6,90.9,.306,.331,.514,.470,13.4,23.6,.227,.471,15.1,72.5,.242,FleetCenter,709049,17438
Washington Wizards,28.4,37,45,38,44,-1.01,-0.46,-1.47,103.0,104.1,88.2,.325,.127,.513,.460,13.0,27.3,.253,.477,13.8,71.6,.212,MCI Center,827093,20173
New York Knicks,30.2,37,45,37,45,-1.35,-0.26,-1.61,104.7,106.2,90.7,.241,.235,.528,.486,13.4,24.4,.196,.485,13.7,71.8,.261,Madison Square Garden (IV),779479,19012
Memphis Grizzlies,24.9,28,54,32,50,-3.23,0.63,-2.60,103.9,107.3,92.7,.287,.190,.526,.487,14.2,27.0,.212,.491,13.4,68.7,.197,Pyramid Arena,611322,14910
Los Angeles Clippers,25.3,27,55,29,53,-4.12,0.68,-3.45,102.3,106.8,91.3,.335,.182,.516,.467,14.8,29.1,.252,.481,13.1,70.2,.222,STAPLES Center,706471,17231
Atlanta Hawks,27.2,35,47,31,51,-3.56,-0.31,-3.87,102.3,106.1,91.0,.313,.177,.527,.476,15.7,27.9,.248,.469,12.1,70.4,.222,Philips Arena,528655,12894
Miami Heat,26.5,25,57,25,57,-5.05,-0.08,-5.13,96.7,102.4,87.8,.259,.169,.483,.439,13.8,26.8,.198,.470,14.1,73.9,.257,AmericanAirlines Arena,628242,15323
Chicago Bulls,25.2,30,52,27,55,-5.13,-0.17,-5.31,100.2,105.6,93.5,.300,.148,.512,.471,15.4,27.7,.217,.470,13.3,69.5,.263,United Center,804309,19617
Toronto Raptors,27.6,24,58,24,58,-5.87,-0.23,-6.10,100.5,107.0,89.9,.282,.179,.497,.458,13.6,28.2,.203,.489,13.1,70.7,.226,Air Canada Centre,777507,18964
Denver Nuggets,24.1,17,65,17,65,-8.28,0.87,-7.41,92.2,101.3,91.0,.283,.126,.469,.428,17.1,31.3,.198,.477,16.5,73.3,.290,Pepsi Center,607813,14825
Cleveland Cavaliers,23.5,17,65,16,66,-9.62,0.04,-9.59,96.5,106.7,94.0,.298,.133,.491,.444,16.4,31.0,.223,.484,13.0,73.2,.252,Gund Arena,471374,11497
