Player,Pos,Age,Tm,G,GS,MP/G,FG/G,FGA/G,FG%,3P/G,3PA/G,3P%,2P/G,2PA/G,2P%,eFG%,FT/G,FTA/G,FT%,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G
Morris Peterson,SF,25,TOR,82,80,36.0,5.1,13.1,.392,1.4,4.2,.337,3.7,8.9,.418,.446,2.4,3.0,.789,1.2,3.2,4.4,2.3,1.1,0.4,1.6,2.8,14.1
Eric Piatkowski,SG,32,LAC,62,26,21.9,3.4,7.2,.471,1.3,3.2,.398,2.1,4.0,.531,.561,1.6,2.0,.828,0.7,1.8,2.5,1.1,0.5,0.1,0.9,1.5,9.7
Paul Pierce,SG,25,BOS,79,79,39.2,8.4,20.2,.416,1.5,4.9,.302,6.9,15.2,.454,.454,7.6,9.5,.802,1.3,6.0,7.3,4.4,1.8,0.8,3.6,2.9,25.9
,SF,37,POR,64,58,29.9,4.1,9.3,.444,0.6,2.1,.286,3.5,7.3,.489,.476,1.9,2.3,.818,0.9,3.5,4.3,4.5,1.6,0.4,2.6,2.3,10.8
Scot Pollard,C,27,SAC,23,0,14.1,1.7,3.8,.460,0.0,0.0,,1.7,3.8,.460,.460,1.0,1.7,.605,2.0,2.6,4.6,0.3,0.6,0.7,0.7,2.2,4.5
James Posey,SF,26,TOT,83,71,30.3,3.7,9.1,.411,0.8,2.8,.306,2.9,6.3,.457,.457,2.5,3.0,.833,1.1,4.0,5.1,2.2,1.3,0.2,1.7,2.4,10.8
James Posey,SF,26,DEN,25,24,34.9,4.8,13.0,.373,1.0,3.5,.273,3.9,9.4,.411,.410,3.4,4.1,.843,1.5,4.3,5.8,3.1,1.2,0.2,2.6,2.5,14.1
James Posey,SF,26,HOU,58,47,28.4,3.2,7.4,.439,0.8,2.4,.326,2.4,4.9,.495,.493,2.1,2.5,.826,0.9,3.9,4.8,1.8,1.3,0.2,1.3,2.3,9.3
Lavor Postell,SG,24,NYK,12,0,8.2,1.2,3.2,.368,0.2,0.6,.286,1.0,2.6,.387,.395,1.1,1.3,.867,0.1,0.3,0.3,0.3,0.2,0.0,0.6,0.8,3.6
Vitaly Potapenko,C,27,SEA,26,2,15.5,1.6,3.6,.441,0.0,0.0,,1.6,3.6,.441,.441,0.8,1.1,.759,1.0,2.5,3.4,0.2,0.3,0.3,1.0,1.8,4.0
