Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Minnesota Timberwolves,26.7,33,49,35,47,-1.88,0.13,-1.75,102.4,104.5,88.8,.299,.149,.524,.480,14.2,25.2,.226,.475,13.4,71.3,.236,Target Center,662167,16150
Philadelphia 76ers,26.5,38,44,35,47,-1.95,-0.15,-2.10,106.0,108.1,92.7,.356,.158,.538,.487,13.3,25.6,.270,.500,14.3,71.3,.240,Wachovia Center,677278,16519
Utah Jazz,25.6,41,41,33,49,-2.63,0.14,-2.49,104.1,107.0,87.8,.397,.149,.519,.467,15.0,32.4,.286,.490,14.0,73.2,.303,Delta Center,751621,18332
New Orleans/Oklahoma City Hornets,26.3,38,44,33,49,-2.82,0.31,-2.51,103.7,106.8,89.0,.339,.138,.515,.464,12.9,26.9,.257,.502,14.3,73.4,.243,Ford Center,744920,18704
Seattle SuperSonics,25.6,35,47,33,49,-3.02,0.15,-2.88,111.1,114.4,91.6,.314,.243,.551,.504,13.7,30.4,.246,.527,13.6,69.0,.260,KeyArena at Seattle Center,664157,16199
Toronto Raptors,25.9,27,55,33,49,-2.99,-0.04,-3.03,109.5,112.7,91.1,.315,.244,.548,.500,12.4,25.4,.249,.530,13.5,73.3,.263,Air Canada Centre,699332,17057
Charlotte Bobcats,25.2,26,56,30,52,-4.00,0.10,-3.90,102.5,106.7,93.4,.319,.184,.509,.464,13.0,27.1,.233,.514,16.5,70.7,.263,Charlotte Bobcats Arena,671011,16366
Atlanta Hawks,22.7,26,56,28,54,-4.76,0.07,-4.69,106.4,111.6,90.4,.340,.178,.534,.486,14.7,31.4,.255,.513,14.1,69.5,.275,Philips Arena,617817,15069
New York Knicks,25.6,23,59,24,58,-6.40,0.11,-6.30,104.0,111.0,90.8,.417,.142,.534,.481,16.5,31.2,.303,.511,13.4,72.8,.294,Madison Square Garden (IV),776176,18931
Portland Trail Blazers,24.6,21,61,16,66,-9.45,0.54,-8.91,101.1,111.9,87.6,.310,.166,.511,.474,14.5,26.6,.214,.507,12.6,68.2,.231,Rose Garden Arena,617019,15049
