Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Denver Nuggets,25.6,43,39,44,38,1.07,0.58,1.65,103.9,102.7,1.2,93.3,.319,.146,.517,.467,14.2,30.5,.245,.481,15.6,69.3,.221,Pepsi Center,721476,17597
Milwaukee Bucks,26.5,41,41,44,38,1.06,-0.64,0.42,106.5,105.4,1.1,91.6,.330,.172,.528,.477,12.7,27.6,.255,.485,13.3,71.8,.213,Bradley Center,690180,16834
Seattle SuperSonics,26.0,37,45,39,43,-0.63,0.66,0.02,107.3,108.0,-0.7,89.9,.270,.294,.540,.501,13.9,27.2,.207,.487,13.9,68.5,.237,KeyArena at Seattle Center,625474,15154
Golden State Warriors,28.1,37,45,39,43,-0.73,0.66,-0.07,103.0,103.8,-0.8,89.8,.311,.197,.517,.475,14.1,28.4,.226,.476,13.3,72.1,.211,The Arena in Oakland,665648,16235
Miami Heat,26.4,42,40,43,39,0.52,-0.65,-0.13,102.2,101.7,0.5,88.0,.298,.211,.510,.463,13.5,27.4,.227,.463,14.5,73.4,.260,AmericanAirlines Arena,624809,15239
Utah Jazz,24.9,42,40,37,45,-1.22,0.69,-0.53,101.9,103.3,-1.4,86.6,.356,.127,.509,.456,16.1,34.1,.266,.468,15.4,72.4,.319,Delta Center,785330,19154
Portland Trail Blazers,27.6,41,41,37,45,-1.27,0.69,-0.58,103.7,105.1,-1.4,86.2,.267,.170,.515,.478,14.4,31.2,.195,.482,13.3,70.0,.186,Rose Garden Arena,684038,16684
New Orleans Hornets,30.3,41,41,41,41,-0.10,-0.62,-0.72,102.3,102.4,-0.1,89.1,.293,.252,.505,.460,14.1,30.6,.220,.476,15.0,71.3,.218,New Orleans Arena,587613,14332
New York Knicks,29.6,39,43,36,46,-1.48,-0.49,-1.97,101.7,103.3,-1.6,89.5,.266,.171,.518,.474,15.1,28.0,.211,.461,13.2,72.8,.259,Madison Square Garden (IV),785739,19164
Boston Celtics,26.4,36,46,37,45,-1.45,-0.54,-1.99,102.1,103.7,-1.6,93.2,.327,.249,.532,.486,15.4,25.2,.245,.479,15.7,69.5,.240,FleetCenter,664248,16201
Phoenix Suns,24.4,29,53,30,52,-3.74,0.80,-2.94,101.4,105.5,-4.1,92.6,.280,.180,.515,.475,14.3,26.6,.209,.482,14.7,69.9,.240,America West Arena,670385,16351
Philadelphia 76ers,27.5,33,49,33,49,-2.49,-0.46,-2.95,99.1,101.9,-2.8,88.0,.321,.158,.505,.456,15.5,28.2,.242,.467,14.7,70.7,.231,Wachovia Center,788128,19223
Cleveland Cavaliers,24.9,35,47,33,49,-2.62,-0.44,-3.07,101.4,104.2,-2.8,90.8,.301,.116,.498,.451,13.7,31.1,.226,.469,12.3,73.0,.221,Gund Arena,749790,18288
Toronto Raptors,27.6,33,49,31,51,-3.01,-0.40,-3.42,97.0,100.4,-3.4,86.8,.260,.204,.495,.454,14.1,23.8,.195,.449,14.1,70.1,.241,Air Canada Centre,750608,18308
Los Angeles Clippers,24.3,28,54,28,54,-4.59,0.84,-3.74,103.5,108.5,-5.0,91.0,.350,.156,.512,.453,15.0,32.8,.275,.494,12.9,70.0,.231,STAPLES Center,665396,16143
Atlanta Hawks,26.2,28,54,28,54,-4.65,-0.36,-5.00,101.0,106.1,-5.1,90.8,.303,.191,.514,.465,15.4,28.6,.235,.476,13.1,70.5,.234,Philips Arena,565728,13798
Washington Wizards,24.4,25,57,25,57,-5.63,-0.48,-6.12,98.8,104.8,-6.0,92.2,.337,.194,.500,.454,16.0,30.7,.241,.486,14.9,69.5,.214,MCI Center,645363,15741
Chicago Bulls,26.8,23,59,23,59,-6.35,-0.33,-6.69,96.6,103.4,-6.8,92.2,.272,.186,.486,.446,14.9,28.1,.197,.469,14.1,71.4,.253,United Center,809177,19736
Orlando Magic,25.8,21,61,22,60,-7.02,-0.23,-7.25,102.7,110.4,-7.7,90.8,.296,.184,.504,.461,12.8,28.1,.218,.502,12.7,68.7,.214,TD Waterhouse Centre,589144,14369
