Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Dahntay Jones,23,13,624,9799,1203,2739,107,325,840,1118,252,1082,529,261,144,507,1206,3353,.439,.329,.751,15.7,5.4,1.7,0.8
James Jones,23,14,709,11098,1205,3003,776,1937,531,632,226,1276,366,226,218,231,930,3717,.401,.401,.840,15.7,5.2,1.8,0.5
Chris Kaman,21,13,735,19642,3432,7023,1,24,1343,1808,1487,5582,921,322,931,1544,1968,8208,.489,.042,.743,26.7,11.2,7.6,1.3
Jason Kapono,22,9,509,9068,1336,3026,457,1054,269,322,165,844,417,180,25,327,777,3398,.442,.434,.835,17.8,6.7,1.7,0.8
Kyle Korver,22,15,1104,28889,3776,8501,2213,5130,1202,1365,321,3359,1965,753,379,1183,2338,10967,.444,.431,.881,26.2,9.9,3.0,1.8
Maciej Lampe,18,3,64,632,94,231,2,8,25,37,37,142,22,8,10,35,81,215,.407,.250,.676,9.9,3.4,2.2,0.3
Raul Lopez,23,2,113,2135,280,652,45,130,128,150,31,194,428,84,5,221,278,733,.429,.346,.853,18.9,6.5,1.7,3.8
Keith McLeod,24,4,200,3723,363,1018,59,209,320,400,40,268,536,145,27,250,359,1105,.357,.282,.800,18.6,5.5,1.3,2.7
Darko Milicic,18,10,468,8638,1196,2602,0,6,421,734,628,1971,405,206,613,573,1065,2813,.460,.000,.574,18.5,6.0,4.2,0.9
Travis Outlaw,19,11,622,13026,1994,4713,344,1021,941,1265,480,1974,514,331,381,512,1035,5273,.423,.337,.744,20.9,8.5,3.2,0.8
Zaza Pachulia,19,15,1030,21362,2523,5366,0,27,2101,2803,2263,6050,1342,737,361,1387,2587,7147,.470,.000,.750,20.7,6.9,5.9,1.3
Sasha Pavlovic,20,10,567,8888,1070,2651,308,890,339,504,188,1000,517,272,98,460,1026,2787,.404,.346,.673,15.7,4.9,1.8,0.9
Desmond Penigar,22,1,10,89,14,28,0,0,4,4,6,24,3,2,2,6,14,32,.500,,1.000,8.9,3.2,2.4,0.3
Kirk Penney,23,2,6,30,2,9,1,4,0,0,0,2,2,1,0,5,1,5,.222,.250,,5.0,0.8,0.3,0.3
Kendrick Perkins,19,14,782,17162,1705,3219,0,14,804,1353,1305,4532,813,263,903,1233,2142,4214,.530,.000,.594,21.9,5.4,5.8,1.0
Mickael Pietrus,21,10,557,11950,1625,3821,679,1910,700,1053,440,1723,445,371,230,576,1270,4629,.425,.355,.665,21.5,8.3,3.1,0.8
Zoran Planinic,21,3,148,1584,197,486,37,128,130,192,47,198,165,58,7,120,237,561,.405,.289,.677,10.7,3.8,1.3,1.1
Luke Ridnour,22,12,830,21623,2933,6803,584,1674,1290,1496,363,1877,3713,814,161,1349,1779,7740,.431,.349,.862,26.1,9.3,2.3,4.5
Theron Smith,23,2,53,688,60,179,9,24,20,24,52,157,35,11,9,41,76,149,.335,.375,.833,13.0,2.8,3.0,0.7
Darius Songaila,25,8,495,9229,1449,2904,3,19,514,609,553,1689,589,324,106,486,1197,3415,.499,.158,.844,18.6,6.9,3.4,1.2
Mike Sweetney,21,4,233,3610,564,1164,0,2,388,563,400,1045,145,73,107,277,569,1516,.485,.000,.689,15.5,6.5,4.5,0.6
Ime Udoka,26,7,316,5711,614,1471,218,612,189,268,219,926,308,208,54,221,528,1635,.417,.356,.705,18.1,5.2,2.9,1.0
Slavko Vranes,21,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,.000,,,3.0,0.0,0.0,0.0
Dwyane Wade,22,15,982,33888,8038,16657,463,1613,5543,7230,1189,4648,5400,1561,847,3160,2210,22082,.483,.287,.767,34.5,22.5,4.7,5.5
Luke Walton,23,10,564,9685,1050,2449,182,558,367,513,481,1588,1317,313,102,597,810,2649,.429,.326,.715,17.2,4.7,2.8,2.3
David West,23,15,1034,29144,5703,11519,57,215,2571,3148,1784,6590,2273,764,850,1660,2408,14034,.495,.265,.817,28.2,13.6,6.4,2.2
Mo Williams,21,13,818,23872,4051,9326,1094,2891,1563,1795,407,2264,3990,721,121,1849,2005,10759,.434,.378,.871,29.2,13.2,2.8,4.9
