Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luke Babbitt,SF,28,ATL,37,9,570,80,168,.476,49,111,.441,31,57,.544,.622,17,22,.773,5,76,81,26,7,5,15,47,226
Luke Babbitt,SF,28,MIA,11,4,113,10,37,.270,10,35,.286,0,2,.000,.405,0,0,,1,10,11,3,1,2,4,7,30
Dwayne Bacon,SG,22,CHO,52,6,695,70,186,.376,11,42,.262,59,144,.410,.406,20,25,.800,4,120,124,36,16,2,22,45,171
Ron Baker,SG,24,NYK,29,1,385,20,59,.339,11,33,.333,9,26,.346,.432,20,26,.769,5,25,30,47,26,6,18,33,71
Wade Baldwin,PG,21,POR,2,0,24,5,6,.833,1,1,1.000,4,5,.800,.917,5,9,.556,0,5,5,2,0,0,1,3,16
Lonzo Ball,PG,20,LAL,52,50,1780,203,564,.360,90,295,.305,113,269,.420,.440,32,71,.451,69,291,360,376,88,43,136,117,528
J.J. Barea,PG,33,DAL,67,8,1573,295,676,.436,112,308,.364,183,368,.497,.519,80,102,.784,14,183,197,425,34,3,140,82,782
Harrison Barnes,PF,25,DAL,72,72,2456,499,1118,.446,108,301,.359,391,817,.479,.495,244,295,.827,74,377,451,143,48,14,111,90,1350
Will Barton,SG,27,DEN,74,33,2412,412,921,.447,141,379,.372,271,542,.500,.524,157,195,.805,61,298,359,300,78,49,138,147,1122
Nicolas Batum,SG,29,CHO,58,58,1836,251,603,.416,86,254,.339,165,349,.473,.488,96,117,.821,50,230,280,319,63,21,114,67,684
Jerryd Bayless,SG,29,PHI,39,11,925,109,262,.416,54,146,.370,55,116,.474,.519,35,44,.795,15,65,80,54,23,6,46,91,307
