Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Robert Hite,23,1,12,136,19,60,5,23,8,12,4,16,8,3,2,6,8,51,.317,.217,.667,11.3,4.3,1.3,0.7
Ryan Hollins,22,10,518,6134,687,1177,0,1,539,830,457,1140,151,94,271,384,1037,1913,.584,.000,.649,11.8,3.7,2.2,0.3
Mile Ilic,22,1,5,6,0,3,0,0,0,0,0,1,0,0,0,3,1,0,.000,,,1.2,0.0,0.2,0.0
Ersan Ilyasova,19,10,678,16592,2789,6299,757,2071,1097,1424,1234,4028,803,494,253,701,1698,7432,.443,.366,.770,24.5,11.0,5.9,1.2
Alexander Johnson,23,2,102,1302,152,294,0,0,135,201,82,275,30,38,45,89,217,439,.517,,.672,12.8,4.3,2.7,0.3
Bobby Jones,23,2,91,867,103,233,19,62,63,92,51,149,44,26,4,46,144,288,.442,.306,.685,9.5,3.2,1.6,0.5
Solomon Jones,22,8,281,3092,301,645,1,9,236,329,257,654,99,58,154,161,554,839,.467,.111,.717,11.0,3.0,2.3,0.4
Tarence Kinsey,22,3,109,1340,186,411,23,71,116,142,42,147,53,68,1,71,102,511,.453,.324,.817,12.3,4.7,1.3,0.5
James Lang,23,1,11,55,4,9,0,0,3,5,5,11,2,0,3,2,14,11,.444,,.600,5.0,1.0,1.0,0.2
Kyle Lowry,20,12,791,24568,3676,8656,1375,3717,2702,3364,663,3342,4660,1065,210,1765,2134,11429,.425,.370,.803,31.1,14.4,4.2,5.9
Renaldo Major,24,1,1,27,2,10,0,0,1,2,0,2,0,2,0,1,4,5,.200,,.500,27.0,5.0,2.0,0.0
Damir Markota,21,1,30,170,19,52,6,16,7,11,11,31,6,3,1,15,22,51,.365,.375,.636,5.7,1.7,1.0,0.2
Chris McCray,22,1,5,12,0,3,0,0,0,0,0,0,0,0,0,2,1,0,.000,,,2.4,0.0,0.0,0.0
Ivan McFarlin,24,1,11,41,5,13,0,1,5,7,7,11,1,0,0,1,8,15,.385,.000,.714,3.7,1.4,1.0,0.1
Pops Mensah-Bonsu,23,4,61,509,64,156,0,2,53,90,83,180,11,14,14,40,82,181,.410,.000,.589,8.3,3.0,3.0,0.2
Paul Millsap,21,12,875,25826,4686,9539,372,1127,2701,3678,1975,6499,2025,1139,912,1594,2737,12445,.491,.330,.734,29.5,14.2,7.4,2.3
Randolph Morris,21,4,74,438,52,122,0,0,36,66,27,104,7,13,7,30,100,140,.426,,.545,5.9,1.9,1.4,0.1
Adam Morrison,22,3,161,3278,467,1252,124,375,142,200,82,342,222,40,12,172,273,1200,.373,.331,.710,20.4,7.5,2.1,1.4
David Noel,22,1,68,792,65,177,17,53,37,43,42,123,65,25,9,40,77,184,.367,.321,.860,11.6,2.7,1.8,1.0
Steve Novak,23,11,467,5657,751,1717,575,1337,100,114,68,591,132,91,38,81,371,2177,.437,.430,.877,12.1,4.7,1.3,0.3
Patrick O'Bryant,20,4,90,524,79,160,0,3,28,48,32,127,25,18,40,42,126,186,.494,.000,.583,5.8,2.1,1.4,0.3
Kevinn Pinkney,23,1,6,100,12,27,1,2,6,9,7,15,5,3,3,4,12,31,.444,.500,.667,16.7,5.2,2.5,0.8
Leon Powe,23,5,239,3320,490,952,0,5,504,739,380,911,78,69,82,189,503,1484,.515,.000,.682,13.9,6.2,3.8,0.3
Roger Powell,24,1,3,13,0,3,0,1,2,2,3,3,0,0,0,3,2,2,.000,.000,1.000,4.3,0.7,1.0,0.0
Chris Quinn,23,6,241,3303,381,956,161,427,169,209,30,266,455,102,8,137,249,1092,.399,.377,.809,13.7,4.5,1.1,1.9
Allan Ray,22,1,47,710,100,259,48,116,42,55,18,69,43,20,3,42,85,290,.386,.414,.764,15.1,6.2,1.5,0.9
J.J. Redick,22,12,760,19281,3165,7051,1464,3524,1618,1818,138,1502,1486,357,58,828,1142,9412,.449,.415,.890,25.4,12.4,2.0,2.0
Jeremy Richardson,22,3,45,245,33,99,15,39,5,8,3,25,5,4,0,10,21,86,.333,.385,.625,5.4,1.9,0.6,0.1
Sergio Rodriguez,20,5,353,5281,676,1651,202,600,193,261,121,525,1183,212,13,491,441,1747,.409,.337,.739,15.0,4.9,1.5,3.4
Rajon Rondo,20,12,779,24750,3411,7365,290,940,1031,1706,820,3746,6608,1354,106,2221,1730,8143,.463,.309,.604,31.8,10.5,4.8,8.5
Brandon Roy,22,6,326,11561,2224,4849,322,925,1366,1707,347,1388,1517,335,76,595,630,6136,.459,.348,.800,35.5,18.8,4.3,4.7
Thabo Sefolosha,22,12,778,18017,1808,4025,464,1337,632,857,597,3036,1144,868,349,715,1334,4712,.449,.347,.737,23.2,6.1,3.9,1.5
Mouhamed Sene,20,3,47,260,35,82,0,0,33,56,28,75,1,4,22,15,44,103,.427,,.589,5.5,2.2,1.6,0.0
Cedric Simmons,21,3,75,705,70,171,0,0,23,59,55,141,14,11,32,30,91,163,.409,,.390,9.4,2.2,1.9,0.2
Uros Slokar,23,1,20,72,14,26,1,2,9,13,7,14,1,1,2,9,11,38,.538,.500,.692,3.6,1.9,0.7,0.1
Craig Smith,23,6,403,6826,1221,2207,1,27,637,963,543,1567,322,183,91,413,957,3080,.553,.037,.661,16.9,7.6,3.9,0.8
Steven Smith,23,1,8,28,2,8,0,0,1,2,1,6,0,1,0,2,4,5,.250,,.500,3.5,0.6,0.8,0.0
Vassilis Spanoulis,24,1,31,272,23,72,5,29,34,42,5,22,28,7,1,29,33,85,.319,.172,.810,8.8,2.7,0.7,0.9
Tyrus Thomas,20,8,402,7932,1147,2620,8,34,791,1080,550,1938,347,328,525,527,989,3093,.438,.235,.732,19.7,7.7,4.8,0.9
P.J. Tucker,21,7,500,13923,1357,3182,436,1225,553,739,793,2844,728,581,130,522,1143,3703,.426,.356,.748,27.8,7.4,5.7,1.5
Marcus Vinicius,22,2,26,172,16,35,8,19,10,18,3,19,7,3,2,9,14,50,.457,.421,.556,6.6,1.9,0.7,0.3
James White,24,3,67,583,71,162,17,50,23,34,8,68,35,17,6,25,53,182,.438,.340,.676,8.7,2.7,1.0,0.5
Justin Williams,22,2,49,456,67,117,0,1,31,89,71,164,2,10,21,19,68,165,.573,.000,.348,9.3,3.4,3.3,0.0
Marcus Williams,21,4,203,3095,427,1107,126,392,148,193,56,361,574,87,7,295,197,1128,.386,.321,.767,15.2,5.6,1.8,2.8
Shawne Williams,20,7,314,5368,650,1612,275,812,194,257,247,945,220,127,156,197,656,1769,.403,.339,.755,17.1,5.6,3.0,0.7
Shelden Williams,23,6,361,5586,590,1276,2,9,436,589,529,1562,163,179,164,304,733,1618,.462,.222,.740,15.5,4.5,4.3,0.5
